date,open,high,low,close,volume
2018-01-01,100.000000,100.661271,99.776965,100.000000,4044396
2018-01-02,100.000000,100.243097,98.480380,98.965405,1378221
2018-01-03,98.965405,99.868447,98.826273,99.659050,3378466
2018-01-04,99.659050,100.687493,99.311461,100.635969,2392052
2018-01-05,100.635969,100.963319,98.312190,98.739703,2481188
2018-01-08,98.739703,99.072561,96.567535,97.369615,4809143
2018-01-09,97.369615,97.773084,97.228072,97.426082,3423741
2018-01-10,97.426082,97.854518,96.949092,97.121282,3460542
2018-01-11,97.121282,98.229257,95.938174,97.089753,2401426
2018-01-12,97.089753,97.234179,96.005646,96.263495,2525640
2018-01-15,96.263495,97.502674,95.829811,97.072276,3743083
2018-01-16,97.072276,98.110507,96.307503,97.871174,1155643
2018-01-17,97.871174,98.067061,97.037909,97.975964,1949207
2018-01-18,97.975964,99.445477,97.269875,99.091940,3401093
2018-01-19,99.091940,100.933401,98.541994,99.612683,3494145
2018-01-22,99.612683,100.299019,98.116123,98.786271,1369030
2018-01-23,98.786271,100.007178,98.418300,99.109926,4151305
2018-01-24,99.109926,100.224806,97.869885,98.180176,3170176
2018-01-25,98.180176,99.591475,97.877666,98.999774,1950854
2018-01-26,98.999774,99.655625,97.839682,98.991498,4007802
2018-01-29,98.991498,99.013492,97.888749,98.808256,4963508
2018-01-30,98.808256,99.445848,97.990896,98.128636,2694341
2018-01-31,98.128636,99.505443,97.368192,99.301387,2133784
2018-02-01,99.301387,99.689933,98.990832,99.206969,2197645
2018-02-02,99.206969,99.653845,98.728397,98.778248,3370414
2018-02-05,98.778248,99.037023,97.851837,98.409717,1189536
2018-02-06,98.409717,99.276878,97.373027,98.916469,2933716
2018-02-07,98.916469,99.590431,98.631170,99.304113,1099111
2018-02-08,99.304113,100.013350,99.295754,99.734323,1154321
2018-02-09,99.734323,100.470201,98.825716,100.186579,2720106
2018-02-12,100.186579,102.659832,99.424059,102.378521,3982056
2018-02-13,102.378521,102.953257,101.549236,102.073681,4533381
2018-02-14,102.073681,102.678023,101.020029,101.537012,1350541
2018-02-15,101.537012,101.580930,100.635954,100.687542,1976251
2018-02-16,100.687542,101.432700,100.565399,101.267123,2686646
